Name,Sex,NOC,Year,Sport,Event,Medal,GDP,Population
Denis Vladimirovich Pankratov,M,RUS,1996,Swimming,Swimming Men's 200 metres Butterfly,Gold,3.92E+11,148200000
Eduardo Paret Prez,M,CUB,1996,Baseball,Baseball Men's Baseball,Gold,2.50E+10,10990000
"Cynthia Marie ""Cindy"" Parlow",F,USA,1996,Football,Football Women's Football,Gold,8.07E+12,269700000
"Aleksandr ""Alex"" Parygin",M,KAZ,1996,Modern Pentathlon,Modern Pentathlon Men's Individual,Gold,2.10E+10,15580000
Vladislav Yuryevich Pavlovich,M,RUS,1996,Fencing,"Fencing Men's Foil, Team",Gold,3.92E+11,148200000
"Jorge ""Jordi"" Pay Rodrguez",M,ESP,1996,Water Polo,Water Polo Men's Water Polo,Gold,6.43E+11,39810000
Gary Dwayne Payton,M,USA,1996,Basketball,Basketball Men's Basketball,Gold,8.07E+12,269700000
Heather M. Pease-Olson,F,USA,1996,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,8.07E+12,269700000
Sergio Pedrerol Cavalle,M,ESP,1996,Water Polo,Water Polo Men's Water Polo,Gold,6.43E+11,39810000
Marie-Jos Juliana Prec (Hontas-),F,FRA,1996,Athletics,Athletics Women's 200 metres,Gold,1.61E+12,59750000
Marie-Jos Juliana Prec (Hontas-),F,FRA,1996,Athletics,Athletics Women's 400 metres,Gold,1.61E+12,59750000
"Jacqueline Margaret ""Jackie"" Pereira",F,AUS,1996,Hockey,Hockey Women's Hockey,Gold,4.00E+13,18310000
Jefferson Leonardo Prez Quezada,M,ECU,1996,Athletics,Athletics Men's 20 kilometres Walk,Gold,2.52E+10,11455204
"Nova Maree Peris-Kneebone (-Batman, -Appleton)",F,AUS,1996,Hockey,Hockey Women's Hockey,Gold,4.00E+13,18310000
Kieren John Perkins,M,AUS,1996,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold,4.00E+13,18310000
Goran Perkovac,M,CRO,1996,Handball,Handball Men's Handball,Gold,1.39E+10,4581000
Aleksey Aleksandrovich Petrov,M,RUS,1996,Weightlifting,Weightlifting Men's Middle-Heavyweight,Gold,3.92E+11,148200000
Paola Pezzo,F,ITA,1996,Cycling,"Cycling Women's Mountainbike, Cross-Country",Gold,1.31E+12,56840000
"Jaycie Lynn Phelps (-McClure, -Marus)",F,USA,1996,Gymnastics,Gymnastics Women's Team All-Around,Gold,8.07E+12,269700000
Matthew Clive Pinsent,M,GBR,1996,Rowing,Rowing Men's Coxless Pairs,Gold,1.42E+12,58090000
Constana Pipot-Burcic,F,ROU,1996,Rowing,Rowing Women's Lightweight Double Sculls,Gold,3.69E+10,22660000
Scottie Maurice Pippen,M,USA,1996,Basketball,Basketball Men's Basketball,Gold,8.07E+12,269700000
Yevgeny Anatolyevich Podgorny,M,RUS,1996,Gymnastics,Gymnastics Men's Team All-Around,Gold,3.92E+11,148200000
Liliya Oleksandrivna Podkopaieva (-Nahorniy),F,UKR,1996,Gymnastics,Gymnastics Women's Individual All-Around,Gold,4.46E+10,51060000
