Name,Sex,NOC,Year,Sport,Event,Medal
Walter Brack,M,GER,1904,Swimming,Swimming Men's 100 Yard Backstroke,Gold
"Benjamin Joseph ""Ben"" Bradshaw",M,USA,1904,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
David Hey Bratton,M,USA,1904,Water Polo,Water Polo Men's Water Polo,Gold
"William Thomas Edmund ""Billy"" Brennagh",M,CAN,1904,Lacrosse,Lacrosse Men's Lacrosse,Gold
George Henry Bretz (-Brett),M,CAN,1904,Lacrosse,Lacrosse Men's Lacrosse,Gold
"George Philip ""Phil"" Bryant",M,USA,1904,Archery,Archery Men's Double American Round,Gold
"George Philip ""Phil"" Bryant",M,USA,1904,Archery,Archery Men's Double York Round,Gold
"William Lawrie ""Billy"" Burns",M,CAN,1904,Lacrosse,Lacrosse Men's Lacrosse,Gold
George James Cattanach,M,CAN,1904,Lacrosse,Lacrosse Men's Lacrosse,Gold
Otto Lorne Christman,M,CAN,1904,Football,Football Men's Football,Gold
George Cloutier,M,CAN,1904,Lacrosse,Lacrosse Men's Lacrosse,Gold
"Alexander ""Sandy"" Cowan",M,CAN,1904,Lacrosse,Lacrosse Men's Lacrosse,Gold
"Frederick ""Fred"" Cresser",M,USA,1904,Rowing,Rowing Men's Coxed Eights,Gold
"Edward McClellan ""Ned"" Cummins",M,USA,1904,Golf,Golf Men's Team,Gold
"Robert Samuel ""Bob"" Curry",M,USA,1904,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Gold
"Charles Meldrum ""Charlie"" Daniels",M,USA,1904,Swimming,Swimming Men's 220 yard Freestyle,Gold
"Charles Meldrum ""Charlie"" Daniels",M,USA,1904,Swimming,Swimming Men's 440 yard Freestyle,Gold
